,id,name,city_name,id_city,type,date,long,lat
0,2A004-C-001,A Confina,AJACCIO,2A004,Supermarché,2019-08-28,8.783403,41.9523692
1,01024-C-001,Mairie d'Attignat,ATTIGNAT,01024,Parking,2019-08-29,5.158352778,46.28957222
2,01049-C-001,Aire de covoiturage Montluel,LA BOISSE,01049,Aire de covoiturage,2019-08-29,5.048432,45.840543
3,01089-C-001,Aire de covoiturage Château-Gaillard,CHATEAU GAILLARD,01089,Sortie d'autoroute,2019-08-29,5.311396,45.977088
4,01093-C-001,Parking Bel Air,CHATILLON SUR CHALARONNE,01093,Parking,2019-08-29,4.964663889,46.12900556
5,01096-C-001,Parking La Genetiere,CHAVEYRIAT,01096,Parking,2019-08-29,5.073319444,46.17810278
6,01096-C-002,Place du Monument,CHAVEYRIAT,01096,Parking,2019-08-29,5.059761111,46.19888333
7,01115-C-001,Place du Logis Neuf,CONFRANCON,01115,Parking,2019-08-29,5.055497222,46.25655278
8,01151-C-001,Place de L'Eglise,DRUILLAT,01151,Parking,2019-08-29,5.31775,46.05911111
9,01195-C-001,Place Sans Souci,JASSERON,01195,Parking,2019-08-29,5.3263,46.21393889
10,01196-C-001,Parking Chemin de L'Ecole,JAYAT,01196,Parking,2019-08-29,5.119902778,46.36907222
11,01236-C-001,Place de L'Eglise,MARSONNAS,01236,Parking,2019-08-29,5.071047222,46.34124722
12,01245-C-001,Place de Bohas,BOHAS MEYRIAT RIGNAT,01245,Parking,2019-08-29,5.388425,46.15994722
13,01248-C-001,Aire de covoiturage du Mionnay,MIONNAY,01248,Sortie d'autoroute,2019-08-29,4.899796871,45.8831017
14,01266-C-001,Place General de gaulle,MONTREVEL EN BRESSE,01266,Parking,2019-08-29,5.125961111,46.33573333
15,01290-C-001,Aire de covoiturage Pérouges,PEROUGES,01290,Sortie d'autoroute,2019-08-29,5.182171,45.860683
16,01301-C-001,Parking du Stade,POLLIAT,01301,Parking,2019-08-29,5.126572,46.251132
17,01301-C-002,Parking Quinconces,POLLIAT,01301,Parking,2019-08-29,5.121596,46.250066
18,01350-C-001,Terrain de Boules - Chemin des Lyonniéres,ST ETIENNE DU BOIS,01350,Parking,2019-08-29,5.289722222,46.28322222
19,01376-C-001,Aire de covoiturage Saint-Maurice-De-Beynost,ST MAURICE DE BEYNOST,01376,Sortie d'autoroute,2019-08-29,4.989172,45.820935
20,01405-C-001,Parking des Sports,SERVAS,01405,Parking,2019-08-29,5.163272222,46.13119722
21,01422-C-001,Place de La Fontaine,TOSSIAT,01422,Parking,2019-08-29,5.316269444,46.14157222
22,01426-C-001,Parking du Stade,VAL REVERMONT,01426,Parking,2019-08-29,5.362436111,46.26710278
23,01429-C-001,Mairie de Vandeins,VANDEINS,01429,Parking,2019-08-29,5.078811111,46.21584167
24,02157-C-001,Péage Laon,CHAMBRY,02157,Sortie d'autoroute,2019-08-29,3.663798596,49.60744757
25,02163-C-001,Super U Charly Sur Marne,CHARLY SUR MARNE,02163,Supermarché,2019-08-29,3.282443232,48.97251912
26,02168-C-001,Covoiturage SANEF Château-Thierry,CHATEAU THIERRY,02168,Sortie d'autoroute,2021-06-02,3.400251563,49.07858266
27,02168-C-002,Carrefour Chateau Thierry,CHATEAU THIERRY,02168,Supermarché,2019-08-29,3.387474767,49.0406979
28,02168-C-003,Leclerc Chéteau Thierry,CHATEAU THIERRY,02168,Supermarché,2019-08-29,3.389779016,49.03736798
29,02209-C-001,Mairie de ConDé En Brie,CONDE EN BRIE,02209,Aire de covoiturage,2019-08-29,3.555901022,49.00457585
30,02239-C-001,Parking écoquartier Crézancy,CREZANCY,02239,Aire de covoiturage,2019-08-29,3.513723672,49.04996586
31,02305-C-001,Super U Fére En Tardenois,FERE EN TARDENOIS,02305,Supermarché,2019-08-29,3.516296885,49.20296656
32,02408-C-001,Covoiturage SANEF Laon,LAON,02408,Sortie d'autoroute,2022-06-02,3.663693,49.606902
33,03031-C-001,Aire de covoiturage de Bizeneuille,BIZENEUILLE,03031,Aire de covoiturage,2019-08-29,2.69891609,46.38681335
34,03073-C-001,Aire de Chemilly,CHEMILLY,03073,Aire de covoiturage,2019-08-29,3.31629589,46.47358012
35,03073-C-002,Parking de L'Eglise,CHEMILLY,03073,Parking,2019-08-29,3.31658635,46.48921715
36,03084-C-001,Parking du Bourg,COSNE D ALLIER,03084,Parking,2019-08-29,2.83054592,46.47558623
37,03092-C-001,Parking du Bourg,CRESSANGES,03092,Parking,2019-08-29,3.16075256,46.44417676
38,03093-C-001,Aire de covoiturage du Creuzier,CREUZIER LE NEUF,03093,Aire de covoiturage,2019-08-29,3.45437124,46.18481218
39,03098-C-001,Parking de La Verne,DESERTINES,03098,Parking,2019-08-29,2.62639058,46.34439195
40,03101-C-001,Stade,DOMERAT,03101,Parking,2019-08-29,2.54675315,46.35823287
41,03102-C-001,Parking Thomassots,DOMPIERRE SUR BESBRE,03102,Parking,2019-08-29,3.68849384,46.51791574
42,03118-C-001,Aire de covoiturage des Chillins,GANNAT,03118,Aire de covoiturage,2019-08-29,3.13837825,46.10311391
