,date,holidays_name,weekday,vacation_level
159,2019-01-01,Vacances de Noël,Tuesday,3
0,2019-01-02,Vacances de Noël,Wednesday,3
146,2019-01-03,Vacances de Noël,Thursday,3
338,2019-01-04,Vacances de Noël,Friday,3
169,2019-01-05,Vacances de Noël,Saturday,3
222,2019-01-06,Vacances de Noël,Sunday,3
147,2019-01-07,Hors vacances,Monday,0
308,2019-01-08,Hors vacances,Tuesday,0
205,2019-01-09,Hors vacances,Wednesday,0
104,2019-01-10,Hors vacances,Thursday,0
148,2019-01-11,Hors vacances,Friday,0
105,2019-01-12,Hors vacances,Saturday,0
223,2019-01-13,Hors vacances,Sunday,0
47,2019-01-14,Hors vacances,Monday,0
170,2019-01-15,Hors vacances,Tuesday,0
270,2019-01-16,Hors vacances,Wednesday,0
309,2019-01-17,Hors vacances,Thursday,0
233,2019-01-18,Hors vacances,Friday,0
74,2019-01-19,Hors vacances,Saturday,0
75,2019-01-20,Hors vacances,Sunday,0
93,2019-01-21,Hors vacances,Monday,0
293,2019-01-22,Hors vacances,Tuesday,0
224,2019-01-23,Hors vacances,Wednesday,0
234,2019-01-24,Hors vacances,Thursday,0
106,2019-01-25,Hors vacances,Friday,0
281,2019-01-26,Hors vacances,Saturday,0
1,2019-01-27,Hors vacances,Sunday,0
123,2019-01-28,Hors vacances,Monday,0
320,2019-01-29,Hors vacances,Tuesday,0
182,2019-01-30,Hors vacances,Wednesday,0
294,2019-01-31,Hors vacances,Thursday,0
34,2019-02-01,Hors vacances,Friday,0
295,2019-02-02,Hors vacances,Saturday,0
94,2019-02-03,Hors vacances,Sunday,0
160,2019-02-04,Hors vacances,Monday,0
296,2019-02-05,Hors vacances,Tuesday,0
29,2019-02-06,Hors vacances,Wednesday,0
95,2019-02-07,Hors vacances,Thursday,0
346,2019-02-08,Hors vacances,Friday,0
251,2019-02-09,Vacances d'hiver,Saturday,1
310,2019-02-10,Vacances d'hiver,Sunday,1
183,2019-02-11,Vacances d'hiver,Monday,1
321,2019-02-12,Vacances d'hiver,Tuesday,1
271,2019-02-13,Vacances d'hiver,Wednesday,1
171,2019-02-14,Vacances d'hiver,Thursday,1
262,2019-02-15,Vacances d'hiver,Friday,1
235,2019-02-16,Vacances d'hiver,Saturday,2
133,2019-02-17,Vacances d'hiver,Sunday,2
347,2019-02-18,Vacances d'hiver,Monday,2
263,2019-02-19,Vacances d'hiver,Tuesday,2
60,2019-02-20,Vacances d'hiver,Wednesday,2
35,2019-02-21,Vacances d'hiver,Thursday,2
12,2019-02-22,Vacances d'hiver,Friday,2
236,2019-02-23,Vacances d'hiver,Saturday,3
61,2019-02-24,Vacances d'hiver,Sunday,3
107,2019-02-25,Vacances d'hiver,Monday,2
2,2019-02-26,Vacances d'hiver,Tuesday,2
36,2019-02-27,Vacances d'hiver,Wednesday,2
124,2019-02-28,Vacances d'hiver,Thursday,2
272,2019-03-01,Vacances d'hiver,Friday,2
348,2019-03-02,Vacances d'hiver,Saturday,2
282,2019-03-03,Vacances d'hiver,Sunday,2
161,2019-03-04,Vacances d'hiver,Monday,1
13,2019-03-05,Vacances d'hiver,Tuesday,1
48,2019-03-06,Vacances d'hiver,Wednesday,1
252,2019-03-07,Vacances d'hiver,Thursday,1
3,2019-03-08,Vacances d'hiver,Friday,1
264,2019-03-09,Vacances d'hiver,Saturday,1
14,2019-03-10,Vacances d'hiver,Sunday,1
184,2019-03-11,Hors vacances,Monday,0
185,2019-03-12,Hors vacances,Tuesday,0
162,2019-03-13,Hors vacances,Wednesday,0
322,2019-03-14,Hors vacances,Thursday,0
62,2019-03-15,Hors vacances,Friday,0
186,2019-03-16,Hors vacances,Saturday,0
187,2019-03-17,Hors vacances,Sunday,0
253,2019-03-18,Hors vacances,Monday,0
206,2019-03-19,Hors vacances,Tuesday,0
207,2019-03-20,Hors vacances,Wednesday,0
283,2019-03-21,Hors vacances,Thursday,0
208,2019-03-22,Hors vacances,Friday,0
108,2019-03-23,Hors vacances,Saturday,0
116,2019-03-24,Hors vacances,Sunday,0
237,2019-03-25,Hors vacances,Monday,0
323,2019-03-26,Hors vacances,Tuesday,0
15,2019-03-27,Hors vacances,Wednesday,0
117,2019-03-28,Hors vacances,Thursday,0
188,2019-03-29,Hors vacances,Friday,0
189,2019-03-30,Hors vacances,Saturday,0
109,2019-03-31,Hors vacances,Sunday,0
284,2019-04-01,Hors vacances,Monday,0
4,2019-04-02,Hors vacances,Tuesday,0
16,2019-04-03,Hors vacances,Wednesday,0
125,2019-04-04,Hors vacances,Thursday,0
225,2019-04-05,Hors vacances,Friday,0
149,2019-04-06,Vacances de printemps,Saturday,1
339,2019-04-07,Vacances de printemps,Sunday,1
238,2019-04-08,Vacances de printemps,Monday,1
340,2019-04-09,Vacances de printemps,Tuesday,1
110,2019-04-10,Vacances de printemps,Wednesday,1
126,2019-04-11,Vacances de printemps,Thursday,1
311,2019-04-12,Vacances de printemps,Friday,1
209,2019-04-13,Vacances de printemps,Saturday,2
5,2019-04-14,Vacances de printemps,Sunday,2
17,2019-04-15,Vacances de printemps,Monday,2
18,2019-04-16,Vacances de printemps,Tuesday,2
324,2019-04-17,Vacances de printemps,Wednesday,2
226,2019-04-18,Vacances de printemps,Thursday,2
150,2019-04-19,Vacances de printemps,Friday,2
265,2019-04-20,Vacances de printemps,Saturday,3
273,2019-04-21,Vacances de printemps,Sunday,3
210,2019-04-22,Vacances de printemps,Monday,3
30,2019-04-23,Vacances de printemps,Tuesday,2
325,2019-04-24,Vacances de printemps,Wednesday,2
163,2019-04-25,Vacances de printemps,Thursday,2
134,2019-04-26,Vacances de printemps,Friday,2
227,2019-04-27,Vacances de printemps,Saturday,2
37,2019-04-28,Vacances de printemps,Sunday,2
285,2019-04-29,Vacances de printemps,Monday,1
127,2019-04-30,Vacances de printemps,Tuesday,1
