Date;Calendrier Zone A;Calendrier Zone B;Calendrier Zone C;Nom de la période;timestamp_unix
2022-02-28;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1646006400
2022-03-08;Hors Vacances;Hors Vacances;Hors Vacances;;1646697600
2022-03-25;Hors Vacances;Hors Vacances;Hors Vacances;;1648166400
2022-05-09;Hors Vacances;Hors Vacances;Hors Vacances;;1652054400
2022-08-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660521600
2022-10-06;Hors Vacances;Hors Vacances;Hors Vacances;;1665014400
2022-11-01;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1667260800
2022-12-08;Hors Vacances;Hors Vacances;Hors Vacances;;1670457600
2022-11-26;Hors Vacances;Hors Vacances;Hors Vacances;;1669420800
2022-01-22;Hors Vacances;Hors Vacances;Hors Vacances;;1642809600
2022-02-05;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644019200
2022-03-30;Hors Vacances;Hors Vacances;Hors Vacances;;1648598400
2022-04-01;Hors Vacances;Hors Vacances;Hors Vacances;;1648771200
2022-04-06;Hors Vacances;Hors Vacances;Hors Vacances;;1649203200
2022-05-08;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1651968000
2022-06-10;Hors Vacances;Hors Vacances;Hors Vacances;;1654819200
2022-06-19;Hors Vacances;Hors Vacances;Hors Vacances;;1655596800
2022-06-21;Hors Vacances;Hors Vacances;Hors Vacances;;1655769600
2022-08-06;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659744000
2022-08-13;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660348800
2022-08-22;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661126400
2022-09-09;Hors Vacances;Hors Vacances;Hors Vacances;;1662681600
2022-10-14;Hors Vacances;Hors Vacances;Hors Vacances;;1665705600
2022-10-23;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1666483200
2022-11-03;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1667433600
2022-01-27;Hors Vacances;Hors Vacances;Hors Vacances;;1643241600
2022-01-30;Hors Vacances;Hors Vacances;Hors Vacances;;1643500800
2022-02-14;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644796800
2022-03-07;Hors Vacances;Hors Vacances;Hors Vacances;;1646611200
2022-04-17;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650153600
2022-06-25;Hors Vacances;Hors Vacances;Hors Vacances;;1656115200
2022-06-30;Hors Vacances;Hors Vacances;Hors Vacances;;1656547200
2022-08-30;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661817600
2022-09-02;Hors Vacances;Hors Vacances;Hors Vacances;;1662076800
2022-09-11;Hors Vacances;Hors Vacances;Hors Vacances;;1662854400
2022-04-14;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1649894400
2022-05-13;Hors Vacances;Hors Vacances;Hors Vacances;;1652400000
2022-05-14;Hors Vacances;Hors Vacances;Hors Vacances;;1652486400
2022-05-16;Hors Vacances;Hors Vacances;Hors Vacances;;1652659200
2022-07-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657497600
2022-07-29;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659052800
2022-08-12;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660262400
2022-09-05;Hors Vacances;Hors Vacances;Hors Vacances;;1662336000
2022-10-17;Hors Vacances;Hors Vacances;Hors Vacances;;1665964800
2022-10-26;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1666742400
2022-01-12;Hors Vacances;Hors Vacances;Hors Vacances;;1641945600
2022-01-19;Hors Vacances;Hors Vacances;Hors Vacances;;1642550400
2022-01-29;Hors Vacances;Hors Vacances;Hors Vacances;;1643414400
2022-02-03;Hors Vacances;Hors Vacances;Hors Vacances;;1643846400
2022-02-23;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1645574400
2022-03-11;Hors Vacances;Hors Vacances;Hors Vacances;;1646956800
2022-03-24;Hors Vacances;Hors Vacances;Hors Vacances;;1648080000
2022-07-09;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657324800
2022-07-24;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658620800
2022-08-04;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659571200
2022-08-17;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660694400
2022-09-27;Hors Vacances;Hors Vacances;Hors Vacances;;1664236800
2022-11-19;Hors Vacances;Hors Vacances;Hors Vacances;;1668816000
2022-01-26;Hors Vacances;Hors Vacances;Hors Vacances;;1643155200
2022-04-24;Vacances de printemps;Vacances de printemps;Vacances de printemps;Vacances de printemps;1650758400
2022-05-11;Hors Vacances;Hors Vacances;Hors Vacances;;1652227200
2022-05-26;Pont de l'Ascension;Pont de l'Ascension;Pont de l'Ascension;Pont de l'Ascension;1653523200
2022-07-02;Hors Vacances;Hors Vacances;Hors Vacances;;1656720000
2022-07-13;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657670400
2022-08-07;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659830400
2022-08-16;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1660608000
2022-10-11;Hors Vacances;Hors Vacances;Hors Vacances;;1665446400
2022-10-13;Hors Vacances;Hors Vacances;Hors Vacances;;1665619200
2022-01-13;Hors Vacances;Hors Vacances;Hors Vacances;;1642032000
2022-01-14;Hors Vacances;Hors Vacances;Hors Vacances;;1642118400
2022-01-18;Hors Vacances;Hors Vacances;Hors Vacances;;1642464000
2022-02-15;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1644883200
2022-03-29;Hors Vacances;Hors Vacances;Hors Vacances;;1648512000
2022-04-08;Hors Vacances;Hors Vacances;Hors Vacances;;1649376000
2022-04-27;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1651017600
2022-05-04;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1651622400
2022-05-28;Pont de l'Ascension;Pont de l'Ascension;Pont de l'Ascension;Pont de l'Ascension;1653696000
2022-06-05;Hors Vacances;Hors Vacances;Hors Vacances;;1654387200
2022-08-25;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1661385600
2022-09-14;Hors Vacances;Hors Vacances;Hors Vacances;;1663113600
2022-10-03;Hors Vacances;Hors Vacances;Hors Vacances;;1664755200
2022-11-04;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1667520000
2022-11-07;Hors Vacances;Hors Vacances;Hors Vacances;;1667779200
2022-11-15;Hors Vacances;Hors Vacances;Hors Vacances;;1668470400
2022-11-18;Hors Vacances;Hors Vacances;Hors Vacances;;1668729600
2022-12-06;Hors Vacances;Hors Vacances;Hors Vacances;;1670284800
2022-03-01;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1646092800
2022-04-09;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1649462400
2022-08-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659916800
2022-09-01;Hors Vacances;Hors Vacances;Hors Vacances;;1661990400
2022-11-06;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1667692800
2022-11-10;Hors Vacances;Hors Vacances;Hors Vacances;;1668038400
2022-12-03;Hors Vacances;Hors Vacances;Hors Vacances;;1670025600
2022-12-09;Hors Vacances;Hors Vacances;Hors Vacances;;1670544000
2022-12-13;Hors Vacances;Hors Vacances;Hors Vacances;;1670889600
2022-12-17;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1671235200
2022-12-20;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1671494400
2022-12-21;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1671580800
2022-12-29;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1672272000
