id_city,id_reg,id_dep,city_name,dens_pop,density_degree,density_type,total_pop_2019,no_commute_pop,work_commute_perc
01001,84,01,L'Abergement-Clémenciat,48.84,6,"Rural à habitat dispersé",779,77.0087,90.1144
01002,84,01,L'Abergement-de-Varey,27.98,6,"Rural à habitat dispersé",256,10.4024,95.9366
01004,84,01,Ambérieu-en-Bugey,574.55,2,"Centres urbains intermédiaires",14134,2420.13,82.8772
01005,84,01,Ambérieux-en-Dombes,109.99,5,"Bourgs ruraux",1751,152.304,91.3019
01006,84,01,Ambléon,19.05,6,"Rural à habitat dispersé",112,NULL,NULL
01007,84,01,Ambronay,83.46,6,"Rural à habitat dispersé",2800,180,93.5714
01008,84,01,Ambutrix,145.98,4,"Ceintures urbaines",762,30.483,95.9996
01009,84,01,Andert-et-Condon,46.97,6,"Rural à habitat dispersé",326,5.20255,98.4041
01010,84,01,Anglefort,37.76,5,"Bourgs ruraux",1105,108.779,90.1558
01011,84,01,Apremont,25.26,6,"Rural à habitat dispersé",368,19.3848,94.7324
01012,84,01,Aranc,15.2,6,"Rural à habitat dispersé",329,30.2368,90.8095
01013,84,01,Arandas,10.14,7,"Rural à habitat très dispersé",143,9.93056,93.0556
01014,84,01,Arbent,142.57,4,"Ceintures urbaines",3349,504.951,84.9223
01015,84,01,"Arboys en Bugey",28.9,6,"Rural à habitat dispersé",650,40.2134,93.8133
01016,84,01,Arbigny,26.33,6,"Rural à habitat dispersé",460,30.131,93.4498
01017,84,01,Argis,58.29,6,"Rural à habitat dispersé",457,15.6532,96.5748
01019,84,01,Armix,3.96,7,"Rural à habitat très dispersé",27,NULL,NULL
01021,84,01,Ars-sur-Formans,264.91,5,"Bourgs ruraux",1457,143.11,90.1777
01022,84,01,Artemare,333.07,5,"Bourgs ruraux",1249,126.964,89.8348
01023,84,01,Asnières-sur-Saône,16.24,6,"Rural à habitat dispersé",76,5,93.4211
01024,84,01,Attignat,173.94,5,"Bourgs ruraux",3251,252.893,92.2211
01025,84,01,Bâgé-Dommartin,71.48,6,"Rural à habitat dispersé",4065,305,92.4969
01026,84,01,Bâgé-le-Châtel,1105.68,5,"Bourgs ruraux",973,40,95.889
01027,84,01,Balan,142.07,5,"Bourgs ruraux",2563,678.809,73.515
01028,84,01,Baneins,69.25,6,"Rural à habitat dispersé",617,34.552,94.4
01029,84,01,Beaupont,48.69,6,"Rural à habitat dispersé",685,29.7491,95.6571
01030,84,01,Beauregard,881.91,4,"Ceintures urbaines",829,40,95.1749
01031,84,01,Bellignat,466.41,2,"Centres urbains intermédiaires",3652,433.133,88.1398
01032,84,01,Béligneux,253.83,5,"Bourgs ruraux",3376,423.217,87.4639
01033,84,01,Valserhône,261.92,2,"Centres urbains intermédiaires",16378,3216.03,80.3637
01034,84,01,Belley,409.55,3,"Petites villes",9182,2089.74,77.2409
01035,84,01,Belleydoux,17.58,6,"Rural à habitat dispersé",310,25.1623,91.8831
01036,84,01,Valromey-sur-Séran,23.38,6,"Rural à habitat dispersé",1326,95.8698,92.77
01037,84,01,Bénonces,20.09,6,"Rural à habitat dispersé",308,30.898,89.9682
01038,84,01,Bény,41.32,6,"Rural à habitat dispersé",754,44.9659,94.0364
01039,84,01,Béon,43.01,6,"Rural à habitat dispersé",443,29.8822,93.2546
01040,84,01,Béréziat,44.88,6,"Rural à habitat dispersé",486,20.2505,95.8332
01041,84,01,Bettant,221.96,4,"Ceintures urbaines",748,20.1192,97.3103
01042,84,01,Bey,105.05,6,"Rural à habitat dispersé",291,42.034,85.5553
01043,84,01,Beynost,446.8,2,"Centres urbains intermédiaires",4754,395,91.6912
01044,84,01,Billiat,46.13,6,"Rural à habitat dispersé",632,19.8091,96.8656
01045,84,01,Birieux,17.88,6,"Rural à habitat dispersé",283,5.02695,98.2237
01046,84,01,Biziat,78.58,6,"Rural à habitat dispersé",895,66.5961,92.5591
01047,84,01,Blyes,126.82,6,"Rural à habitat dispersé",1182,69.8582,94.0898
01049,84,01,"La Boisse",349.26,4,"Ceintures urbaines",3283,187.019,94.3034
01050,84,01,Boissey,40.33,6,"Rural à habitat dispersé",365,38.5903,89.4273
01051,84,01,Bolozon,18.5,7,"Rural à habitat très dispersé",91,NULL,NULL
01052,84,01,Bouligneux,12.57,7,"Rural à habitat très dispersé",328,35.0132,89.3253
01053,84,01,Bourg-en-Bresse,1723.01,2,"Centres urbains intermédiaires",41111,9728.89,76.3351
01054,84,01,Bourg-Saint-Christophe,162.25,5,"Bourgs ruraux",1457,93.3407,93.5936
01056,84,01,Boyeux-Saint-Jérôme,20.6,6,"Rural à habitat dispersé",349,25.2081,92.777
01057,84,01,Boz,71,6,"Rural à habitat dispersé",519,40.2187,92.2507
01058,84,01,Brégnier-Cordon,75.27,6,"Rural à habitat dispersé",828,126.244,84.7531
01060,84,01,Brénod,20.72,6,"Rural à habitat dispersé",493,48.2192,90.2192
01061,84,01,Brens,165.8,6,"Rural à habitat dispersé",1144,60.5825,94.7043
01062,84,01,Bressolles,120.83,4,"Ceintures urbaines",934,40.1393,95.7024
01063,84,01,Brion,118.97,3,"Petites villes",533,39.7712,92.5382
01064,84,01,Briord,87.06,6,"Rural à habitat dispersé",1070,166.104,84.4762
01065,84,01,Buellas,177.47,5,"Bourgs ruraux",1812,105,94.2053
01066,84,01,"La Burbanche",8.23,7,"Rural à habitat très dispersé",89,NULL,NULL
01067,84,01,Ceignes,25.47,6,"Rural à habitat dispersé",255,5,98.0392
