,id_city,city_name,dens_pop
11,01001,L'Abergement-Clémenciat,48.84
19,01002,L'Abergement-de-Varey,27.98
27,01004,Ambérieu-en-Bugey,574.55
35,01005,Ambérieux-en-Dombes,109.99
43,01006,Ambléon,19.05
51,01007,Ambronay,83.46
59,01008,Ambutrix,145.98
67,01009,Andert-et-Condon,46.97
75,01010,Anglefort,37.76
83,01011,Apremont,25.26
91,01012,Aranc,15.2
99,01013,Arandas,10.14
107,01014,Arbent,142.57
115,01015,Arboys en Bugey,28.9
123,01016,Arbigny,26.33
131,01017,Argis,58.29
139,01019,Armix,3.96
147,01021,Ars-sur-Formans,264.91
155,01022,Artemare,333.07
163,01023,Asnières-sur-Saône,16.24
171,01024,Attignat,173.94
179,01025,Bâgé-Dommartin,71.48
187,01026,Bâgé-le-Châtel,1105.68
195,01027,Balan,142.07
203,01028,Baneins,69.25
211,01029,Beaupont,48.69
219,01030,Beauregard,881.91
227,01031,Bellignat,466.41
235,01032,Béligneux,253.83
243,01033,Valserhône,261.92
251,01034,Belley,409.55
259,01035,Belleydoux,17.58
267,01036,Valromey-sur-Séran,23.38
275,01037,Bénonces,20.09
283,01038,Bény,41.32
291,01039,Béon,43.01
299,01040,Béréziat,44.88
307,01041,Bettant,221.96
315,01042,Bey,105.05
323,01043,Beynost,446.8
331,01044,Billiat,46.13
339,01045,Birieux,17.88
347,01046,Biziat,78.58
355,01047,Blyes,126.82
363,01049,La Boisse,349.26
371,01050,Boissey,40.33
379,01051,Bolozon,18.5
387,01052,Bouligneux,12.57
395,01053,Bourg-en-Bresse,1723.01
403,01054,Bourg-Saint-Christophe,162.25
411,01056,Boyeux-Saint-Jérôme,20.6
419,01057,Boz,71
427,01058,Brégnier-Cordon,75.27
435,01060,Brénod,20.72
443,01061,Brens,165.8
451,01062,Bressolles,120.83
459,01063,Brion,118.97
467,01064,Briord,87.06
475,01065,Buellas,177.47
483,01066,La Burbanche,8.23
491,01067,Ceignes,25.47
499,01068,Cerdon,63.01
507,01069,Certines,94.41
515,01071,Cessy,752.43
523,01072,Ceyzériat,341.24
531,01073,Ceyzérieu,50.71
539,01074,Chalamont,78.74
547,01075,Chaleins,81.29
555,01076,Chaley,27.17
563,01077,Challes-la-Montagne,25.62
571,01078,Challex,179.58
579,01079,Champagne-en-Valromey,44.66
587,01080,Champdor-Corcelles,20.39
595,01081,Champfromier,22.69
603,01082,Chanay,34.7
611,01083,Chaneins,73.4
619,01084,Chanoz-Châtenay,66.69
627,01085,La Chapelle-du-Châtelard,29.92
635,01087,Charix,15.44
643,01088,Charnoz-sur-Ain,136.4
651,01089,Château-Gaillard,140.29
659,01090,Châtenay,23.81
667,01092,Châtillon-la-Palud,114.49
675,01093,Châtillon-sur-Chalaronne,274.25
683,01094,Chavannes-sur-Reyssouze,45.98
691,01095,Nivigne et Suran,27.53
699,01096,Chaveyriat,61.29
707,01098,Chazey-Bons,75.06
715,01099,Chazey-sur-Ain,71.34
723,01100,Cheignieu-la-Balme,20.93
731,01101,Chevillard,22.79
739,01102,Chevroux,55.87
747,01103,Chevry,367.98
755,01104,Chézery-Forens,9.9
763,01105,Civrieux,92.56
771,01106,Cize,39.6
779,01107,Cleyzieu,17.01
787,01108,Coligny,69.71
795,01109,Collonges,136.98
803,01110,Colomieu,26.17
811,01111,Conand,8.64
819,01112,Condamine,96.98
827,01113,Condeissiat,37.75
835,01114,Confort,57.2
843,01115,Confrançon,73.36
851,01116,Contrevoz,35.12
