,id_city,city_name,density_degree,density_type,total_pop_2019
0,01001,L'Abergement-Clémenciat,6,Rural à habitat dispersé,779
1,01002,L'Abergement-de-Varey,6,Rural à habitat dispersé,256
2,01004,Ambérieu-en-Bugey,2,Centres urbains intermédiaires,14134
3,01005,Ambérieux-en-Dombes,5,Bourgs ruraux,1751
4,01006,Ambléon,6,Rural à habitat dispersé,112
5,01007,Ambronay,6,Rural à habitat dispersé,2800
6,01008,Ambutrix,4,Ceintures urbaines,762
7,01009,Andert-et-Condon,6,Rural à habitat dispersé,326
8,01010,Anglefort,5,Bourgs ruraux,1105
9,01011,Apremont,6,Rural à habitat dispersé,368
10,01012,Aranc,6,Rural à habitat dispersé,329
11,01013,Arandas,7,Rural à habitat très dispersé,143
12,01014,Arbent,4,Ceintures urbaines,3349
13,01015,Arboys en Bugey,6,Rural à habitat dispersé,650
14,01016,Arbigny,6,Rural à habitat dispersé,460
15,01017,Argis,6,Rural à habitat dispersé,457
16,01019,Armix,7,Rural à habitat très dispersé,27
17,01021,Ars-sur-Formans,5,Bourgs ruraux,1457
18,01022,Artemare,5,Bourgs ruraux,1249
19,01023,Asnières-sur-Saône,6,Rural à habitat dispersé,76
20,01024,Attignat,5,Bourgs ruraux,3251
21,01025,Bâgé-Dommartin,6,Rural à habitat dispersé,4065
22,01026,Bâgé-le-Châtel,5,Bourgs ruraux,973
23,01027,Balan,5,Bourgs ruraux,2563
24,01028,Baneins,6,Rural à habitat dispersé,617
25,01029,Beaupont,6,Rural à habitat dispersé,685
26,01030,Beauregard,4,Ceintures urbaines,829
27,01031,Bellignat,2,Centres urbains intermédiaires,3652
28,01032,Béligneux,5,Bourgs ruraux,3376
29,01033,Valserhône,2,Centres urbains intermédiaires,16378
30,01034,Belley,3,Petites villes,9182
31,01035,Belleydoux,6,Rural à habitat dispersé,310
32,01036,Valromey-sur-Séran,6,Rural à habitat dispersé,1326
33,01037,Bénonces,6,Rural à habitat dispersé,308
34,01038,Bény,6,Rural à habitat dispersé,754
35,01039,Béon,6,Rural à habitat dispersé,443
36,01040,Béréziat,6,Rural à habitat dispersé,486
37,01041,Bettant,4,Ceintures urbaines,748
38,01042,Bey,6,Rural à habitat dispersé,291
39,01043,Beynost,2,Centres urbains intermédiaires,4754
40,01044,Billiat,6,Rural à habitat dispersé,632
41,01045,Birieux,6,Rural à habitat dispersé,283
42,01046,Biziat,6,Rural à habitat dispersé,895
43,01047,Blyes,6,Rural à habitat dispersé,1182
44,01049,La Boisse,4,Ceintures urbaines,3283
45,01050,Boissey,6,Rural à habitat dispersé,365
46,01051,Bolozon,7,Rural à habitat très dispersé,91
47,01052,Bouligneux,7,Rural à habitat très dispersé,328
48,01053,Bourg-en-Bresse,2,Centres urbains intermédiaires,41111
49,01054,Bourg-Saint-Christophe,5,Bourgs ruraux,1457
50,01056,Boyeux-Saint-Jérôme,6,Rural à habitat dispersé,349
51,01057,Boz,6,Rural à habitat dispersé,519
52,01058,Brégnier-Cordon,6,Rural à habitat dispersé,828
53,01060,Brénod,6,Rural à habitat dispersé,493
54,01061,Brens,6,Rural à habitat dispersé,1144
55,01062,Bressolles,4,Ceintures urbaines,934
56,01063,Brion,3,Petites villes,533
57,01064,Briord,6,Rural à habitat dispersé,1070
58,01065,Buellas,5,Bourgs ruraux,1812
59,01066,La Burbanche,7,Rural à habitat très dispersé,89
60,01067,Ceignes,6,Rural à habitat dispersé,255
61,01068,Cerdon,6,Rural à habitat dispersé,775
62,01069,Certines,5,Bourgs ruraux,1503
63,01071,Cessy,4,Ceintures urbaines,4808
64,01072,Ceyzériat,5,Bourgs ruraux,3194
65,01073,Ceyzérieu,6,Rural à habitat dispersé,1000
66,01074,Chalamont,5,Bourgs ruraux,2589
67,01075,Chaleins,5,Bourgs ruraux,1382
68,01076,Chaley,6,Rural à habitat dispersé,125
69,01077,Challes-la-Montagne,6,Rural à habitat dispersé,196
70,01078,Challex,3,Petites villes,1557
71,01079,Champagne-en-Valromey,6,Rural à habitat dispersé,811
72,01080,Champdor-Corcelles,6,Rural à habitat dispersé,643
73,01081,Champfromier,6,Rural à habitat dispersé,735
74,01082,Chanay,6,Rural à habitat dispersé,628
75,01083,Chaneins,6,Rural à habitat dispersé,927
76,01084,Chanoz-Châtenay,6,Rural à habitat dispersé,895
77,01085,La Chapelle-du-Châtelard,6,Rural à habitat dispersé,400
78,01087,Charix,6,Rural à habitat dispersé,282
79,01088,Charnoz-sur-Ain,5,Bourgs ruraux,903
80,01089,Château-Gaillard,5,Bourgs ruraux,2253
81,01090,Châtenay,6,Rural à habitat dispersé,356
