,Date,Gazole,Super SP95,Super SP95-E10,Super SP98,mean_price
0,2020-01-03,1.4841,1.5365,1.5186,1.6006,1.53495
1,2020-01-10,1.4908,1.5483,1.5276,1.6097,1.5441
2,2020-01-17,1.4791,1.5401,1.5181,1.6019,1.5348000000000002
3,2020-01-24,1.4635,1.5343,1.5114,1.5938,1.52575
4,2020-01-31,1.4343,1.516,1.4914,1.5775,1.5048
5,2020-02-07,1.4028,1.4989,1.4727,1.5604,1.4836999999999998
6,2020-02-14,1.3999,1.4948,1.4698,1.5563,1.4802
7,2020-02-21,1.4,1.4889,1.4687,1.552,1.4773999999999998
8,2020-02-28,1.3915,1.4885,1.4685,1.5534,1.4754749999999999
9,2020-03-06,1.3613,1.4589,1.4383,1.5256,1.446025
10,2020-03-13,1.3012,1.4044,1.3833,1.4749,1.39095
11,2020-03-20,1.2569,1.3338,1.3194,1.4106,1.330175
12,2020-03-27,1.239,1.3048,1.2887,1.3766,1.302275
13,2020-04-03,1.231,1.2881,1.2725,1.3583,1.287475
14,2020-04-10,1.2223,1.274,1.2607,1.3459,1.275725
15,2020-04-17,1.2132,1.2621,1.2514,1.3362,1.265725
16,2020-04-24,1.1941,1.2451,1.2344,1.3165,1.247525
17,2020-05-01,1.1663,1.2296,1.2178,1.298,1.227925
18,2020-05-08,1.1608,1.2303,1.2153,1.2935,1.224975
19,2020-05-15,1.1578,1.2442,1.2227,1.3001,1.2311999999999999
20,2020-05-22,1.1768,1.2684,1.2486,1.3224,1.2540499999999999
21,2020-05-29,1.1854,1.2827,1.2666,1.3396,1.2685749999999998
22,2020-06-05,1.191,1.2886,1.2714,1.3441,1.273775
23,2020-06-12,1.2092,1.3125,1.2964,1.3692,1.2968250000000001
24,2020-06-19,1.2161,1.3181,1.3038,1.3766,1.30365
25,2020-06-26,1.2303,1.3389,1.3227,1.396,1.321975
26,2020-07-03,1.2278,1.3298,1.3189,1.3913,1.31695
27,2020-07-10,1.242,1.3441,1.3334,1.4066,1.331525
28,2020-07-17,1.2446,1.3485,1.3377,1.4115,1.335575
29,2020-07-24,1.2474,1.3457,1.3365,1.4116,1.3353
30,2020-07-31,1.2353,1.3275,1.3213,1.3991,1.3208
31,2020-08-07,1.2364,1.328,1.3183,1.395,1.3194249999999998
32,2020-08-14,1.2367,1.3316,1.3205,1.3981,1.3217249999999998
33,2020-08-21,1.2362,1.3355,1.3241,1.4028,1.32465
34,2020-08-28,1.2279,1.3329,1.3234,1.4022,1.3215999999999999
35,2020-09-04,1.219,1.3324,1.3183,1.3986,1.317075
36,2020-09-11,1.2094,1.3332,1.3179,1.3983,1.3147
37,2020-09-18,1.1951,1.3261,1.3104,1.3897,1.305325
38,2020-09-25,1.1947,1.3286,1.3132,1.3923,1.3072
39,2020-10-02,1.1963,1.3307,1.3103,1.3906,1.306975
40,2020-10-09,1.1998,1.3362,1.3158,1.3957,1.311875
41,2020-10-16,1.2078,1.3407,1.3205,1.4014,1.3175999999999999
42,2020-10-23,1.1991,1.3244,1.3072,1.3887,1.30485
43,2020-10-30,1.2067,1.329,1.31,1.3916,1.309325
44,2020-11-06,1.1968,1.3197,1.3012,1.3825,1.3000500000000001
45,2020-11-13,1.2121,1.324,1.31,1.3903,1.3091000000000002
46,2020-11-20,1.218,1.3293,1.3128,1.3949,1.31375
47,2020-11-27,1.2383,1.3388,1.3227,1.4021,1.325475
48,2020-12-04,1.2465,1.3455,1.329,1.4082,1.3322999999999998
49,2020-12-11,1.2527,1.3501,1.3296,1.4081,1.3351250000000001
50,2020-12-18,1.2615,1.3579,1.3377,1.4152,1.343075
51,2020-12-25,1.2673,1.3622,1.3432,1.421,1.348425
52,2021-01-01,1.2754,1.3693,1.3537,1.4292,1.3569
53,2021-01-08,1.2858,1.3899,1.3722,1.4456,1.373375
54,2021-01-15,1.3084,1.4175,1.4011,1.4717,1.3996750000000002
55,2021-01-22,1.3146,1.425,1.4067,1.4786,1.406225
56,2021-01-29,1.3135,1.4252,1.4064,1.4791,1.4060499999999998
57,2021-02-05,1.3232,1.4346,1.4133,1.4869,1.4145
58,2021-02-12,1.3416,1.4451,1.4274,1.5016,1.428925
59,2021-02-19,1.3617,1.4652,1.446,1.5208,1.4484249999999999
60,2021-02-26,1.373,1.4806,1.4596,1.5351,1.462075
61,2021-03-05,1.3758,1.4904,1.471,1.5487,1.471475
62,2021-03-12,1.3903,1.5097,1.49,1.5684,1.4896000000000003
63,2021-03-19,1.393,1.5217,1.501,1.5812,1.4992249999999998
64,2021-03-26,1.3779,1.5124,1.4921,1.5745,1.4892249999999998
65,2021-04-02,1.3742,1.5151,1.4942,1.576,1.489875
66,2021-04-09,1.3694,1.5143,1.4936,1.5764,1.4884249999999999
67,2021-04-16,1.3718,1.5163,1.4951,1.5777,1.490225
68,2021-04-23,1.3786,1.5208,1.5009,1.5827,1.49575
69,2021-04-30,1.3775,1.5166,1.4965,1.5785,1.492275
70,2021-05-07,1.3913,1.5307,1.5085,1.5903,1.5051999999999999
71,2021-05-14,1.3889,1.5234,1.5042,1.5874,1.500975
72,2021-05-21,1.3913,1.5232,1.5033,1.5876,1.5013500000000002
73,2021-05-28,1.3915,1.5208,1.5001,1.5847,1.499275
74,2021-06-04,1.4022,1.5288,1.5091,1.5919,1.508
75,2021-06-11,1.4087,1.5314,1.5114,1.5935,1.51125
76,2021-06-18,1.4194,1.5361,1.5158,1.5979,1.5172999999999999
77,2021-06-25,1.4296,1.5481,1.5258,1.609,1.528125
78,2021-07-02,1.4382,1.5655,1.5411,1.6242,1.54225
79,2021-07-09,1.4377,1.568,1.5447,1.6295,1.544975
80,2021-07-16,1.4466,1.584,1.5579,1.6427,1.5577999999999999
81,2021-07-23,1.4411,1.5824,1.5563,1.6437,1.5558750000000001
82,2021-07-30,1.4337,1.5727,1.554,1.6408,1.5503
83,2021-08-06,1.4419,1.5876,1.5647,1.6508,1.56125
84,2021-08-13,1.4335,1.5857,1.5627,1.6485,1.5576
