journey_id,time,journey_start_lon,journey_start_lat,cluster
7745334,14:30:00,2.403,48.771,1
7745475,14:30:00,2.565,48.945,18
7721587,14:30:00,2.456,48.816,17
7721613,14:30:00,2.437,48.944,27
7721564,14:30:00,2.771,48.857,0
7721563,14:30:00,2.771,48.857,0
7721565,14:30:00,2.771,48.857,0
7780595,14:30:00,2.349,48.848,11
7780596,14:30:00,2.944,48.992,16
7745473,14:40:00,1.983,48.794,2
7745465,14:40:00,2.771,48.857,0
7745470,14:40:00,2.118,48.75,14
7745468,14:40:00,2.115,48.751,14
7780606,14:40:00,2.179,48.889,8
7721583,14:40:00,2.346,48.97,5
7721594,14:40:00,2.456,48.816,17
7721606,14:40:00,2.548,48.907,18
7721836,14:40:00,2.18,48.889,8
7721837,14:40:00,2.18,48.889,8
7743626,14:40:00,2.181,48.889,8
7745466,14:40:00,2.115,48.751,14
7721619,14:40:00,2.548,48.907,18
7721618,14:40:00,2.548,48.907,18
7721634,14:40:00,2.346,48.97,5
7721612,14:40:00,2.548,48.907,18
7721609,14:40:00,2.22,48.781,22
7721581,14:40:00,2.346,48.969,5
7745374,14:40:00,2.753,48.855,0
7745462,14:40:00,2.771,48.857,0
7780593,14:40:00,2.173,48.887,8
7721629,14:40:00,2.548,48.907,18
7721661,14:40:00,2.036,48.948,28
7721680,14:50:00,3.097,48.826,29
7780610,14:50:00,2.157,48.889,8
7745487,14:50:00,2.115,48.751,14
7745494,14:50:00,2.115,48.751,14
7743470,14:50:00,2.159,48.889,8
7721655,14:50:00,1.828,48.632,21
7721895,14:50:00,2.454,48.774,17
7721898,14:50:00,2.454,48.774,17
7721880,14:50:00,2.454,48.774,17
7722229,14:50:00,2.117,48.751,14
7721688,14:50:00,2.054,49.053,15
7745489,14:50:00,2.191,48.863,8
7780603,14:50:00,1.965,48.792,2
7745504,14:50:00,2.447,48.921,27
7745490,14:50:00,2.118,48.75,14
7745501,14:50:00,2.447,48.921,27
7745503,14:50:00,2.447,48.921,27
7745496,14:50:00,2.118,48.75,14
7745488,14:50:00,2.118,48.75,14
7721668,14:50:00,2.431,48.902,27
7745505,14:50:00,2.19,48.996,3
7745483,14:50:00,2.063,48.807,26
7721935,14:50:00,2.224,48.947,8
7745491,14:50:00,2.773,48.856,0
7745492,14:50:00,2.115,48.751,14
7745519,14:50:00,2.52,48.895,27
7745493,14:50:00,2.115,48.751,14
7745472,14:50:00,2.359,48.8,1
7721684,14:50:00,2.054,49.053,15
7743466,15:00:00,2.157,48.889,8
7745521,15:00:00,2.517,48.525,4
7780608,15:00:00,2.449,48.869,27
7721890,15:00:00,2.221,48.782,22
7721960,15:00:00,2.084,48.77,26
7721962,15:00:00,2.082,48.771,26
7721961,15:00:00,2.084,48.77,26
7726220,15:00:00,2.217,48.956,3
7726210,15:00:00,2.217,48.956,3
7721789,15:00:00,2.817,48.85,0
7721784,15:00:00,2.817,48.85,0
7721777,15:00:00,2.817,48.85,0
7721812,15:00:00,2.448,48.921,27
7721814,15:00:00,2.448,48.921,27
7721815,15:00:00,2.448,48.921,27
7721653,15:00:00,2.775,48.855,0
7745498,15:00:00,2.115,48.751,14
7745507,15:00:00,3.095,48.827,29
7745530,15:00:00,2.195,48.87,8
7745509,15:00:00,2.049,49.053,15
7780616,15:00:00,2.795,48.872,0
7780613,15:00:00,2.454,48.819,17
7780614,15:00:00,2.795,48.872,0
7780618,15:00:00,2.379,48.84,11
7780621,15:00:00,2.213,48.78,22
7721920,15:00:00,2.334,48.861,11
7721827,15:00:00,2.232,48.84,22
7721825,15:00:00,2.232,48.84,22
7721916,15:00:00,2.334,48.862,11
7745481,15:00:00,2.264,48.933,8
7780602,15:00:00,2.449,48.869,27
7721816,15:00:00,2.448,48.921,27
7721813,15:00:00,2.448,48.921,27
7721811,15:00:00,2.448,48.921,27
7745500,15:00:00,2.115,48.751,14
7745485,15:00:00,2.202,48.86,8
7743471,15:00:00,2.159,48.889,8
7745513,15:00:00,2.19,48.996,3
7745499,15:00:00,2.049,49.053,15
7745506,15:00:00,2.049,49.053,15
7721698,15:00:00,2.548,48.907,18
7721674,15:00:00,2.358,48.926,25
7780598,15:00:00,2.449,48.869,27
7745522,15:00:00,2.517,48.525,4
7780615,15:00:00,2.547,48.613,4
7721701,15:00:00,2.349,48.868,11
7726224,15:00:00,2.217,48.956,3
7745296,15:00:00,2.704,48.484,24
7723775,15:10:00,2.662,48.949,13
7723776,15:10:00,2.662,48.948,13
7745549,15:10:00,2.547,48.948,18
7721822,15:10:00,2.599,48.869,6
7745544,15:10:00,2.547,48.948,18
7780631,15:10:00,2.263,48.79,22
7745541,15:10:00,2.516,48.974,18
7721770,15:10:00,2.647,48.53,24
7721855,15:10:00,2.357,48.941,25
7721875,15:10:00,1.984,48.833,2
7721850,15:10:00,2.357,48.941,25
7745495,15:10:00,2.371,48.842,11
7721781,15:10:00,2.288,48.916,25
7721779,15:10:00,2.288,48.916,25
7721778,15:10:00,2.288,48.916,25
7780623,15:10:00,1.841,48.97,9
7745559,15:10:00,2.374,48.99,5
7721975,15:10:00,2.615,48.844,6
7721800,15:10:00,2.456,48.868,27
7721925,15:10:00,2.644,48.82,6
7721809,15:10:00,2.159,48.89,8
7721807,15:10:00,2.159,48.89,8
7743718,15:10:00,2.219,48.782,22
7721798,15:10:00,2.456,48.868,27
7721797,15:10:00,2.456,48.868,27
7721794,15:10:00,2.032,49.057,15
7721926,15:10:00,2.644,48.82,6
7721806,15:10:00,2.159,48.889,8
7721900,15:10:00,1.984,48.833,2
7745497,15:10:00,2.115,48.751,14
7721854,15:10:00,2.357,48.941,25
7721820,15:10:00,2.599,48.869,6
7743019,15:20:00,2.308,48.908,25
7745562,15:20:00,2.034,48.787,26
7721840,15:20:00,2.401,48.922,27
7721842,15:20:00,2.402,48.922,27
7745543,15:20:00,2.662,48.948,13
7744911,15:20:00,2.13,48.882,14
7721864,15:20:00,2.577,48.848,6
7721863,15:20:00,2.577,48.848,6
7721862,15:20:00,2.577,48.848,6
7744908,15:20:00,2.13,48.882,14
7745567,15:20:00,2.586,48.84,6
7721931,15:20:00,2.384,48.858,11
7721771,15:20:00,2.765,48.854,0
7745554,15:20:00,2.455,48.868,27
7721963,15:20:00,2.375,48.99,5
7721936,15:20:00,2.644,48.82,6
7744571,15:20:00,2.599,48.869,6
7780634,15:20:00,2.152,48.836,14
